vendor,name,release,screen,RAM,storage,removable battery,maintainers,codename,models,SOC,versions,Wiki mod.Date,Wiki Link
Samsung,Galaxy Note 3 LTE (N9008V),2013-09,5.7,3 GB,16/32/64 GB,True,2,hltechn,SM-N9008V,Qualcomm MSM8974AB Snapdragon 800,"{16, 14}",2020-05-03,https://wiki.lineageos.org/devices/hltechn
Samsung,Galaxy Note 3 LTE (N900K/L/S),2013-09,5.7,3 GB,16/32/64 GB,True,2,hltekor,"SM-N900K,SM-N900L,SM-N900S",Qualcomm MSM8974AB Snapdragon 800,"{16, 14}",2020-05-03,https://wiki.lineageos.org/devices/hltekor
Samsung,Galaxy Note 3 LTE (N900T/V/W8),2013-09,5.7,3 GB,16/32/64 GB,True,2,hltetmo,"SM-N900T,SM-N900V,SM-N900W8",Qualcomm MSM8974AB Snapdragon 800,"{16, 14}",2020-05-03,https://wiki.lineageos.org/devices/hltetmo
Samsung,Galaxy S III Neo (Dual SIM),2014-04-11,4.8,1.5 GB,8/16 GB,True,2,s3ve3gds,GT-I9300I,Qualcomm MSM8226 Snapdragon 400,{16},2020-05-03,https://wiki.lineageos.org/devices/s3ve3gds
Samsung,Galaxy S III Neo (Samsung Camera),2014-04-11,4.8,1.5 GB,8/16 GB,True,2,s3ve3gjv,"GT-I9301I,GT-I9301Q",Qualcomm MSM8226 Snapdragon 400,{16},2020-05-03,https://wiki.lineageos.org/devices/s3ve3gjv
Samsung,Galaxy S III Neo (Sony Camera),2014-04-11,4.8,1.5 GB,8/16 GB,True,2,s3ve3gxx,"GT-I9301I,GT-I9301Q",Qualcomm MSM8226 Snapdragon 400,{16},2020-05-03,https://wiki.lineageos.org/devices/s3ve3gxx
Samsung,Galaxy S5 LTE-A,2014-07-15,5.1,3 GB,32 GB,True,2,lentislte,"SM-G906S,SM-G906K,SM-G906L",Qualcomm APQ8084 Snapdragon 805,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/lentislte
Samsung,Galaxy Tab S2 9.7 Wi-Fi (2016),2016,9.7,3 GB,32/64 GB,False,2,gts210vewifi,SM-T813,Qualcomm MSM8976 Snapdragon 652,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/gts210vewifi
Sony,Xperia Z3,2014-09-04,5.2,3 GB,32 GB,False,2,z3,D6603,Qualcomm MSM8974AC Snapdragon 801,{16},2020-05-03,https://wiki.lineageos.org/devices/z3
Xiaomi,Mi 6,2017-04,5.15,4/6 GB,64/128 GB,False,2,sagit,,Qualcomm MSM8998 Snapdragon 835,"{16, 17, 15}",2020-03-31,https://wiki.lineageos.org/devices/sagit
Xiaomi,Mi MIX,2016-10,6.4,4/6 GB LPDDR4,128/256 GB UFS2.0,False,2,lithium,,Qualcomm MSM8996 Pro Snapdragon 821,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/lithium
Xiaomi,Mi MIX 2,2017-09,5.99,6/8 GB,64/128/256 GB,False,2,chiron,,Qualcomm MSM8998 Snapdragon 835,"{16, 17, 15}",2020-03-31,https://wiki.lineageos.org/devices/chiron
Xiaomi,Poco F1,2018-08,6.18,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,False,2,beryllium,,Qualcomm SDM845 Snapdragon 845,"{16, 17}",2020-03-31,https://wiki.lineageos.org/devices/beryllium
Yandex,Phone,2018-12,5.65,4 GB,64 GB,False,2,Amber,,Qualcomm SDM630 Snapdragon 630,"{16, 17}",2020-04-12,https://wiki.lineageos.org/devices/Amber
Asus,Zenfone 3,2016-05-30,5.1,2/3/4 GB,16/32/64 GB,False,1,zenfone3,"ZE520KL,ZE552KL",Qualcomm MSM8953 Snapdragon 625,{16},2020-05-03,https://wiki.lineageos.org/devices/zenfone3
Asus,Zenfone Max Pro M1,2018-05,5.99,3/4/6 GB,64 GB,False,1,X00TD,,Qualcomm SDM636 Snapdragon 636,"{16, 15}",2020-05-03,https://wiki.lineageos.org/devices/X00TD
Huawei,Honor View 10,2018-01,5.99,4/6 GB,64/128 GB,False,1,berkeley,"BKL-AL00,BKL-AL10,BKL-AL20,BKL-L09,BKL-TL10,BKL-TL20",HiSilicon Kirin 970,{16},2020-05-03,https://wiki.lineageos.org/devices/berkeley
Huawei,P20 Pro,2018-04,6.1,6/8 GB,128/256 GB,False,1,charlotte,"CLT-AL00,CLT-AL01,CLT-L04,CLT-L09,CLT-L29,CLT-TL00,CLT-TL01",HiSilicon Kirin 970,{16},2020-05-03,https://wiki.lineageos.org/devices/charlotte
Motorola,Moto X4,2017-10,5.2,3/4/6 GB,32/64/128 GB,False,1,payton,,Qualcomm SDM630 Snapdragon 630,"{16, 17, 15}",2020-04-10,https://wiki.lineageos.org/devices/payton
Nubia,Z17,2017-06,5.5,6/8 GB,64/128 GB UFS 2.1,False,1,nx563j,,Qualcomm MSM8998 Snapdragon 835,"{16, 17}",2020-04-19,https://wiki.lineageos.org/devices/nx563j
Oneplus,3 / 3T,"[{'A3000': '2016-06'}, {'A3003': '2016-10'}]",5.5,6 GB LPDDR4,64 GB UFS 2.0 (3) / 64/128 GB UFS 2.0 (3T),False,1,oneplus3,"A3000,A3003",Qualcomm MSM8996 Snapdragon 820 (3) / Qualcomm MSM8996 Pro Snapdragon 821 (3T),"{16, 17, 14, 15}",2020-03-31,https://wiki.lineageos.org/devices/oneplus3
Oneplus,6T,2018-11,6.41,6/8 GB LPDDR4X,128/256 GB UFS2.1,False,1,fajita,,Qualcomm SDM845 Snapdragon 845,"{16, 17}",2020-04-07,https://wiki.lineageos.org/devices/fajita
Oneplus,One,2014-06-06,5.5,3 GB,16/64 GB,False,1,bacon,,Qualcomm MSM8974AC Snapdragon 801,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/bacon
Oppo,Find 7a/s,"[{'Find 7a': datetime.date(2014, 3, 19)}, {'Find 7s': datetime.date(2014, 5, 19)}]",5.5,2/3 GB,16/32 GB,True,1,find7,"Find 7a,Find 7s",Qualcomm MSM8974AB/MSM8974AC Snapdragon 801,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/find7
Oppo,R5/R5s (International),"[{'R8106': '2014-12'}, {'R8106s': '2015-08'}]",5.2,"2 GB (R5), 3 GB (R5s)","16 GB (R5), 32 GB (R5s)",False,1,r5,"R8106,R8106s",Qualcomm MSM8939 Snapdragon 615,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/r5
Oppo,R7 Plus (International),2015-05,6.0,3/4 GB,32/64 GB,False,1,r7plus,R7plusf,Qualcomm MSM8939 Snapdragon 615,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/r7plus
Oppo,R7s (International),2015-11,5.5,4 GB,32 GB,False,1,r7sf,R7sf,Qualcomm MSM8939 Snapdragon 615,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/r7sf
Realme,2 Pro,2018-10-11,6.3,4/6/8 GB LPDDR4X,64/128 GB eMMC5.1,False,1,RMX1801,RMX1801,Qualcomm SDM660 Snapdragon 660,{16},2020-05-03,https://wiki.lineageos.org/devices/RMX1801
Sony,Xperia XA2 Ultra,2018-02,6,4 GB,32 GB,False,1,discovery,"H3213,H4213,H4233,H3223",Qualcomm SDM630 Snapdragon 630,"{16, 17, 15}",2020-04-02,https://wiki.lineageos.org/devices/discovery
Xiaomi,Mi 5s,2016-10,5.15,3/4 GB LPDDR4,32/64/128 GB UFS 2.0,False,1,capricorn,,Qualcomm MSM8996 Pro Snapdragon 821,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/capricorn
Xiaomi,Mi 5s Plus,2016-10,5.7,4/6 GB LPDDR4,64/128 GB UFS2.0,False,1,natrium,,Qualcomm MSM8996 Pro Snapdragon 821,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/natrium
Xiaomi,Mi 8,2018-07,6.21,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,False,1,dipper,,Qualcomm SDM845 Snapdragon 845,"{16, 17}",2020-03-31,https://wiki.lineageos.org/devices/dipper
Xiaomi,Mi MIX 2S,2018-04,5.99,6/8 GB LPDDR4X,64/128/256 GB UFS2.1,False,1,polaris,,Qualcomm SDM845 Snapdragon 845,"{16, 17}",2020-03-31,https://wiki.lineageos.org/devices/polaris
Xiaomi,Mi Note 2,2016-11,5.7,4/6 GB LPDDR4,64/128 GB UFS2.0,False,1,scorpio,,Qualcomm MSM8996 Pro Snapdragon 821,"{16, 15}",2020-05-03,https://wiki.lineageos.org/devices/scorpio
Xiaomi,Mi Note 3,2017-09,5.5,4/6 GB,64/128 GB,False,1,jason,,Qualcomm SDM660 Snapdragon 660,"{16, 17, 15}",2020-05-05,https://wiki.lineageos.org/devices/jason
Xiaomi,Redmi 3S/3X,2016-06,5.0,2/3 GB,16/32 GB,False,1,land,,Qualcomm MSM8937 Snapdragon 430,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/land
Xiaomi,Redmi 4(X),2017-05,5.0,2/3/4 GB,16/32/64 GB,False,1,santoni,,Qualcomm MSM8940 Snapdragon 435,"{16, 15}",2020-05-03,https://wiki.lineageos.org/devices/santoni
Zuk,Z1,2015-10-14,5.5,3 GB,64 GB,False,1,ham,,Qualcomm MSM8974AC Snapdragon 801,"{16, 14, 15}",2020-05-03,https://wiki.lineageos.org/devices/ham
Zuk,Z2 Plus,2016-06,5.0,3 GB LPDDR4 / 4 GB LPDDR4,32 / 64 GB,False,1,z2_plus,,Qualcomm MSM8996 Snapdragon 820,"{16, 17}",2020-03-31,https://wiki.lineageos.org/devices/z2_plus
